date,TERM_SPREAD,CREDIT_SPREAD,INDPRO_YoY,CPI_YoY,UNRATE_Delta,hmm_state,prob_state_0,prob_state_1,prob_state_2
1986-11-30,1.9000000000000004,1.3900000000000006,1.5240459045071653,1.2762251613851916,-0.2999999999999998,0,0.9999997126752036,1.443871675033193e-11,2.873103327433843e-07
1986-12-31,1.58,1.4800000000000004,1.5096186736803574,1.1802225056627869,-0.6000000000000005,0,0.9999993622406906,4.096445277041443e-11,6.377183019077183e-07
1987-01-31,1.6500000000000004,1.3600000000000012,0.6082122681462465,1.355646608360761,-0.40000000000000036,0,0.9999987627428177,9.818579648702754e-13,1.2372560864368432e-06
1987-02-28,1.6600000000000001,1.2699999999999996,2.6220857320979896,1.8962193439813646,-0.3000000000000007,0,0.9999999163487736,4.047462891827499e-12,8.364711210266753e-08
1987-03-31,1.6600000000000001,1.25,3.481642378107086,2.801810024957163,-0.40000000000000036,0,0.9999998743919684,1.8498184980405654e-10,1.2542303496312492e-07
1987-04-30,2.38,1.1899999999999995,3.9694859986929565,3.6137626918566923,-0.7000000000000002,0,0.9999985313531268,3.613914628992826e-10,1.4682855720551124e-06
1987-05-31,2.9499999999999993,1.1799999999999997,4.4521643877541095,3.6039936483197366,-0.6000000000000005,0,0.9999995887347659,4.645367615188362e-11,4.1121855696493607e-07
1987-06-30,2.7300000000000004,1.1999999999999993,5.372501264250218,3.6791946933576902,-0.39999999999999947,0,0.9999999281435547,6.96981289181829e-11,7.178654442054044e-08
1987-07-31,2.759999999999999,1.1899999999999995,5.400969168586212,3.8517972435674785,-0.5,0,0.9999998665084693,9.61428210496109e-11,1.3339555038546637e-07
1987-08-31,2.7199999999999998,1.1300000000000008,6.334439042182716,4.198919628684994,-0.5999999999999996,0,0.9999998663329368,1.980486790284859e-10,1.3346881017002703e-07
1987-09-30,3.0199999999999996,1.1300000000000008,6.4726690059571546,4.183965834290859,-0.6999999999999993,0,0.9999998504663493,2.940309113131591e-11,1.4950409073966561e-07
1987-10-31,3.3899999999999997,1.0999999999999996,7.37068446171909,4.263523164443583,-0.2999999999999998,0,0.9999999804012989,2.7268148262789895e-11,1.9571575232415264e-08
